,symbol,ticker
0,20MICRONS,16921
1,21STCENMGM,4
2,3IINFOTECH,11774
3,3MINDIA,474
4,3PLAND,2595
5,5PAISA,445
6,63MOONS,11868
7,A2ZINFRA,20906
8,AAKASH,240
9,AARON,1030
10,AARTIDRUGS,4481
11,AARTIIND,7
12,AARTISURF,19233
13,AARVEEDEN,13771
14,AARVI,19073
15,AAVAS,5385
16,ABAN,10
17,ABB,13
18,ABBOTINDIA,17903
19,ABCAPITAL,21614
20,ABFRL,30108
21,ABMINTLTD,17249
22,ACC,22
23,ACCELYA,7053
24,ACCURACY,1465
25,ACE,13587
26,ACRYSIL,1879
27,ADANIENT,25
28,ADANIGREEN,3563
29,ADANIPORTS,15083
30,ADANIPOWER,17388
31,ADANITRANS,10217
32,ADFFOODS,19761
33,ADHUNIKIND,17507
34,ADL,248
35,ADORWELD,34
36,ADROITINFO,4953
37,ADSL,14813
38,ADVANIHOTR,14745
39,ADVENZYMES,18039
40,AEGISCHEM,40
41,AFFLE,11343
42,AGARIND,3401
43,AGCNET,3435
44,AGRITECH,11072
45,AGROPHOS,9046
46,AHLADA,2004
47,AHLEAST,19438
48,AHLUCONT,17833
49,AHLWEST,19366
50,AIAENG,13086
51,AIRAN,9897
52,AJANTPHARM,8124
53,AJMERA,17307
54,AKASH,13510
55,AKG,2176
56,AKSHARCHEM,20178
57,AKSHOPTFBR,8591
58,AKZOINDIA,1467
59,ALANKIT,9921
60,ALBERTDAVD,17256
61,ALEMBICLTD,79
62,ALICON,13656
63,ALKALI,16959
64,ALKEM,11703
65,ALKYLAMINE,4487
66,ALLCARGO,13501
67,ALLSEC,11798
68,ALMONDZ,16719
69,ALOKINDS,17675
70,ALPA,14848
71,ALPHAGEO,14597
72,ALPSINDUS,7623
73,AMARAJABAT,100
74,AMBER,1185
75,AMBIKCO,15234
76,AMBUJACEM,1270
77,AMDIND,14398
78,AMJLAND,2598
79,AMRUTANJAN,17547
80,ANANTRAJ,13620
81,ANDHRACEMT,20419
82,ANDHRAPAP,166
83,ANDHRSUGAR,136
84,ANGELBRKG,324
85,ANIKINDS,16657
86,ANKITMETAL,29430
87,ANSALAPI,148
88,ANSALHSG,13673
89,ANUP,9014
90,APARINDS,11491
91,APCL,20453
92,APCOTEXIND,154
93,APEX,21623
94,APLAPOLLO,25780
95,APLLTD,25328
96,APOLLO,1134
97,APOLLOHOSP,157
98,APOLLOPIPE,14361
99,APOLLOTYRE,163
100,APOLSINHOT,6302
101,APTECHT,10755
102,ARCHIDPLY,16799
103,ARCHIES,5688
104,ARENTERP,181
105,ARIES,15204
106,ARIHANT,13885
107,ARIHANTSUP,20159
108,ARMANFIN,17263
109,AROGRANITE,14557
110,ARROWGREEN,9260
111,ARSHIYA,17825
112,ARSSINFRA,18202
113,ARTEMISMED,16913
114,ARVIND,193
115,ARVINDFASN,9111
116,ARVSMART,10457
117,ASAHIINDIA,5378
118,ASAHISONG,25088
119,ASAL,11643
120,ASALCBR,17598
121,ASHAPURMIN,203
122,ASHIANA,24403
123,ASHIMASYN,206
124,ASHOKA,20182
125,ASHOKLEY,212
126,ASIANHOTNR,18422
127,ASIANPAINT,236
128,ASIANTILES,14889
129,ASPINWALL,17270
130,ASTEC,17728
131,ASTERDM,1508
132,ASTRAL,14418
133,ASTRAMICRO,11618
134,ASTRAZEN,5610
135,ASTRON,874
136,ATFL,1663
137,ATGL,6066
138,ATLANTA,13585
139,ATUL,263
140,ATULAUTO,30023
141,AUBANK,21238
142,AURIONPRO,12022
143,AUROPHARMA,275
144,AUSOMENT,4037
145,AUTOAXLES,278
146,AUTOIND,14106
147,AUTOLITIND,10061
148,AVADHSUGAR,21406
149,AVANTIFEED,7936
150,AVTNPL,14008
151,AWHCL,1797
152,AXISBANK,5900
153,AXISCADES,9436
154,AYMSYNTEX,10285
155,BAFNAPH,17742
156,BAGFILMS,11226
157,BAJAJ-AUTO,16669
158,BAJAJCON,19531
159,BAJAJELEC,15034
160,BAJAJFINSV,16675
161,BAJAJHIND,308
162,BAJAJHLDNG,305
163,BAJFINANCE,317
164,BALAJITELE,9158
165,BALAMINES,14501
166,BALAXI,11309
167,BALKRISHNA,18321
168,BALKRISIND,335
169,BALLARPUR,1299
170,BALMLAWRIE,338
171,BALPHARMA,13441
172,BALRAMCHIN,341
173,BANARBEADS,347
174,BANARISUG,350
175,BANCOINDIA,13880
176,BANDHANBNK,2263
177,BANG,15303
178,BANKA,822
179,BANKBARODA,4668
180,BANKINDIA,4745
181,BANSWRAS,14511
182,BARTRONICS,17921
183,BASF,368
184,BASML,12034
185,BATAINDIA,371
186,BAYERCROP,17927
187,BBL,13761
188,BBTC,380
189,BCG,8833
190,BCP,11662
191,BDL,2144
192,BEARDSELL,17933
193,BECTORFOOD,1628
194,BEDMUTHA,20196
195,BEL,383
196,BEML,395
197,BEPL,419
198,BERGEPAINT,404
